name,points,selected_by_percent,cost,team,minutes,goals,assists,clean_sheets,bonus,position
Obafemi,4,7.6,4.5,Southampton,57,0,0,0,0,Forward
Diallo,31,0.1,4.5,Southampton,1010,0,0,3,0,Midfielder
Djenepo,46,0.1,5.5,Southampton,1229,1,2,3,0,Midfielder
Salisu,14,0.1,4.5,Southampton,841,0,0,0,0,Defender
Perraud,0,0.2,5.0,Southampton,0,0,0,0,0,Defender
Livramento,0,1.4,4.0,Southampton,0,0,0,0,0,Defender
Hart,0,0.2,4.5,Spurs,0,0,0,0,0,Goalkeeper
Lloris,149,4.2,5.5,Spurs,3420,0,0,12,13,Goalkeeper
Sissoko,44,1.4,4.5,Spurs,1576,0,0,5,2,Midfielder
Alderweireld,88,0.2,5.0,Spurs,2240,1,0,10,4,Defender
Lamela,28,0.1,6.0,Spurs,700,1,1,1,0,Midfielder
Kane,242,24.1,12.5,Spurs,3083,23,14,12,40,Forward
Aurier,80,0.6,5.0,Spurs,1605,2,3,6,4,Defender
Son,228,17.7,10.0,Spurs,3119,17,11,13,26,Midfielder
Doherty,47,1.2,5.0,Spurs,1238,0,2,4,4,Defender
Dier,77,1.3,4.5,Spurs,2520,0,0,8,2,Defender
Lucas Moura,80,0.6,6.5,Spurs,1397,3,5,4,5,Midfielder
Dele,30,1.1,6.5,Spurs,613,0,2,3,0,Midfielder
Davies,52,0.3,4.5,Spurs,1340,0,2,4,1,Defender
Højbjerg,107,2.9,5.0,Spurs,3420,2,4,12,6,Midfielder
Winks,19,1.2,4.5,Spurs,856,0,0,1,0,Midfielder
Sánchez,43,0.5,4.5,Spurs,1486,0,0,4,3,Defender
Sessegnon,0,0.2,4.5,Spurs,0,0,0,0,0,Defender
Bergwijn,55,0.3,6.0,Spurs,1202,1,4,5,2,Midfielder
Reguilón,89,2.7,5.0,Spurs,2244,0,6,8,4,Defender
Tanganga,14,0.1,4.5,Spurs,487,0,0,2,0,Defender
Lo Celso,35,0.2,6.0,Spurs,939,1,1,5,0,Midfielder
Skipp,0,0.3,4.5,Spurs,0,0,0,0,0,Midfielder
Rodon,27,0.2,4.5,Spurs,732,0,0,2,3,Defender
Ndombele,99,0.4,6.0,Spurs,2086,3,3,12,7,Midfielder
Gollini,0,0.3,4.5,Spurs,0,0,0,0,0,Goalkeeper
Bryan,0,0.2,6.0,Spurs,0,0,0,0,0,Midfielder
Foster,0,27.2,4.0,Watford,0,0,0,0,0,Goalkeeper
Rose,0,1.0,4.5,Watford,0,0,0,0,0,Defender
Gosling,0,0.1,5.0,Watford,0,0,0,0,0,Midfielder
Cathcart,0,0.2,4.5,Watford,0,0,0,0,0,Defender
Deeney,0,3.5,5.5,Watford,0,0,0,0,0,Forward
Cleverley,0,0.1,5.0,Watford,0,0,0,0,0,Midfielder
Femenía,0,0.4,4.5,Watford,0,0,0,0,0,Defender
Gray,0,0.3,5.5,Watford,0,0,0,0,0,Forward
Kabasele,0,0.2,4.5,Watford,0,0,0,0,0,Defender
Chalobah,0,0.1,5.0,Watford,0,0,0,0,0,Midfielder
Hughes,0,0.1,5.0,Watford,0,0,0,0,0,Midfielder
Troost-Ekong,0,0.2,4.5,Watford,0,0,0,0,0,Defender
Perica,0,4.4,4.5,Watford,0,0,0,0,0,Forward
Bachmann,0,3.2,4.5,Watford,0,0,0,0,0,Goalkeeper
Masina,0,0.2,4.5,Watford,0,0,0,0,0,Defender
Sema,0,0.1,5.5,Watford,0,0,0,0,0,Midfielder
Zinckernagel,0,0.1,5.5,Watford,0,0,0,0,0,Midfielder
Success,0,0.8,5.0,Watford,0,0,0,0,0,Forward
Dele-Bashiru,0,0.1,4.5,Watford,0,0,0,0,0,Midfielder
Fletcher,0,0.4,5.0,Watford,0,0,0,0,0,Forward
Sierralta,0,0.5,4.5,Watford,0,0,0,0,0,Defender
Quina,0,0.1,4.5,Watford,0,0,0,0,0,Midfielder
Navarro,0,1.2,4.0,Watford,0,0,0,0,0,Defender
Sarr,0,4.6,6.0,Watford,0,0,0,0,0,Midfielder
Ngakia,0,0.1,4.5,Watford,0,0,0,0,0,Defender
Wilmot,0,0.0,4.5,Watford,0,0,0,0,0,Defender
Hungbo,0,0.1,4.5,Watford,0,0,0,0,0,Midfielder
Louza,0,0.1,5.5,Watford,0,0,0,0,0,Midfielder
João Pedro,0,1.1,5.5,Watford,0,0,0,0,0,Forward
Baah,0,0.1,4.5,Watford,0,0,0,0,0,Midfielder
Dennis,0,0.6,5.0,Watford,0,0,0,0,0,Forward
Pollock,0,1.0,4.0,Watford,0,0,0,0,0,Defender
Etebo,0,0.2,4.5,Watford,0,0,0,0,0,Midfielder
King,11,1.2,5.5,Watford,138,0,0,0,0,Forward
Mebude,0,1.2,4.5,Watford,0,0,0,0,0,Forward
Cucho,0,0.3,5.0,Watford,0,0,0,0,0,Forward
Noble,27,0.7,4.5,West Ham,701,0,0,0,0,Midfielder
Randolph,10,0.2,4.5,West Ham,270,0,0,1,0,Goalkeeper
Fabianski,133,2.5,5.0,West Ham,3150,0,0,10,11,Goalkeeper
Ogbonna,100,0.5,5.0,West Ham,2492,3,0,9,5,Defender
Reid,0,2.1,4.0,West Ham,0,0,0,0,0,Defender
Cresswell,153,19.3,5.5,West Ham,3170,0,11,11,21,Defender
Yarmolenko,17,0.4,5.5,West Ham,362,0,1,1,0,Midfielder
Antonio,118,15.5,7.5,West Ham,1972,10,5,6,19,Forward
Dawson,75,0.3,5.0,West Ham,1925,3,0,7,3,Defender
Fredericks,28,0.2,4.5,West Ham,564,1,1,1,0,Defender
Lanzini,28,0.2,6.0,West Ham,556,1,1,1,0,Midfielder
Masuaku,42,0.3,4.5,West Ham,1006,0,2,4,4,Defender
Coufal,128,15.1,5.0,West Ham,3054,0,9,9,12,Defender
Benrahma,73,1.9,6.0,West Ham,1376,1,6,3,4,Midfielder
Bowen,141,2.1,6.5,West Ham,2556,8,6,9,8,Midfielder
Rice,86,4.3,5.0,West Ham,2880,2,1,11,2,Midfielder
Soucek,147,11.2,6.0,West Ham,3420,10,2,11,16,Midfielder
Fornals,125,0.5,6.0,West Ham,2571,5,7,9,10,Midfielder
Diop,42,0.5,4.5,West Ham,1379,2,0,2,1,Defender
Johnson,25,3.2,4.0,West Ham,516,1,0,1,0,Defender
Areola,124,1.1,5.0,West Ham,3240,0,0,9,9,Goalkeeper
Moutinho,73,0.4,5.0,Wolves,2526,1,1,6,4,Midfielder
Patrício,132,0.2,5.0,Wolves,3330,0,0,10,12,Goalkeeper
Boly,68,0.4,5.0,Wolves,1879,1,1,6,4,Defender
Coady,106,8.7,4.5,Wolves,3303,1,0,10,7,Defender
Jiménez,43,3.6,7.5,Wolves,824,4,1,4,7,Forward
Saïss,99,0.7,5.0,Wolves,2407,3,0,8,11,Defender
Marçal,19,0.1,4.5,Wolves,618,0,0,1,0,Defender
Jonny,16,0.0,4.5,Wolves,496,0,0,1,1,Defender
Dendoncker,77,0.2,5.0,Wolves,2498,1,2,11,2,Midfielder
Traoré,94,0.9,6.0,Wolves,2640,2,4,7,5,Midfielder
Neves,104,1.4,5.5,Wolves,2670,5,1,8,10,Midfielder
Semedo,109,1.8,5.0,Wolves,2983,1,3,9,11,Defender
Podence,75,0.0,5.5,Wolves,1661,3,2,8,5,Midfielder
Kilman,58,0.3,4.5,Wolves,1307,0,1,5,8,Defender
Gibbs-White,22,0.7,4.5,Wolves,407,1,0,0,3,Midfielder
Neto,124,0.1,6.5,Wolves,2549,5,8,9,10,Midfielder
Otasowie,9,0.3,4.5,Wolves,185,0,1,0,0,Midfielder
Hoever,13,2.3,4.0,Wolves,573,0,0,0,0,Defender
Söndergaard,0,1.2,4.0,Wolves,0,0,0,0,0,Goalkeeper
Fabio Silva,72,1.0,6.0,Wolves,1352,4,3,0,5,Forward
Mosquera,0,0.1,4.5,Wolves,0,0,0,0,0,Defender
Ruddy,4,0.3,4.5,Wolves,91,0,0,0,0,Goalkeeper
Trincão,0,0.5,6.0,Wolves,0,0,0,0,0,Midfielder
Ait Nouri,54,1.5,4.5,Wolves,1400,1,1,3,6,Defender
Sá,0,0.5,5.0,Wolves,0,0,0,0,0,Goalkeeper
